book_info,book_name,book_rate,book_desc,book_url,book_comments
当年明月 / 中国友谊出版公司 / 2007-1 / 24.80,"
                明朝那些事儿（贰）

                
                  ",8.9,万国来朝与北京保卫战，燃,https://book.douban.com/subject/1949338/,"(
                    40344人评价
                )"
[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,"
                当我谈跑步时我谈些什么

                
              ",8.1,村上同志告诉我们，身体是革命的本钱,https://book.douban.com/subject/3369600/,"(
                    43454人评价
                )"
蔡康永 著 / 沈阳出版社 / 2010-10 / 25.00元,"
                蔡康永的说话之道

                
              ",7.1,会说话的人运气都不会太差,https://book.douban.com/subject/5317075/,"(
                    47520人评价
                )"
[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,"
                一个陌生女人的来信

                
              ",8.6,暗恋的极致,https://book.douban.com/subject/2154960/,"(
                    40749人评价
                )"
安东尼 / 长江文艺出版社 / 2008-3 / 18.00,"
                陪安东尼度过漫长岁月

                
              ",8.4,真正的片段式写作,https://book.douban.com/subject/3014576/,"(
                    41340人评价
                )"
[美国] 桑德拉·希斯内罗丝 / 潘帕 / 译林出版社 / 2006-6 / 24.50元,"
                芒果街上的小屋

                
              ",7.8,那些微尘般漂浮的生活,https://book.douban.com/subject/1794620/,"(
                    43588人评价
                )"
（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元,"
                羊脂球

                
              ",8.1,资产阶级的道貌岸然,https://book.douban.com/subject/1205370/,"(
                    41944人评价
                )"
王小波 / 中国青年出版社 / 1997-10 / 27.00元,"
                沉默的大多数

                
                  ",9.0,沉默是沉默者的通行证,https://book.douban.com/subject/1054685/,"(
                    38375人评价
                )"
[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,"
                鲁滨逊漂流记

                
              ",8.0,最早的荒野求生,https://book.douban.com/subject/1016003/,"(
                    42191人评价
                )"
[日] 井上雄彦 / 邹宁 / 长春出版社 / 2005-1 / 7.50元,"
                灌篮高手31

                
              ",9.5,全剧终,https://book.douban.com/subject/1221515/,"(
                    26654人评价
                )"
(法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元,"
                偷影子的人

                
              ",7.8,为偷来的影子找到光芒,https://book.douban.com/subject/10763902/,"(
                    42415人评价
                )"
三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,"
                撒哈拉的故事

                
              ",9.2,游荡的自由灵魂,https://book.douban.com/subject/1060068/,"(
                    37266人评价
                )"
[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,"
                巴黎圣母院

                
              ",8.3,潜藏于残缺下的美与崇高,https://book.douban.com/subject/1024197/,"(
                    40286人评价
                )"
[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元,"
                麦田里的守望者

                
              ",8.0,反英雄霍尔顿的一生,https://book.douban.com/subject/2053249/,"(
                    40587人评价
                )"
[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,"
                肖申克的救赎

                
              ",9.1,希望让人自由，电影实在太有名,https://book.douban.com/subject/1829226/,"(
                    36593人评价
                )"
